,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
0,Kia Mohave,2020,дизель,3.0,260.0,автомат,4WD,серый,26000.0,левый,8.8,4650000
1,Hyundai Santa Fe,2018,дизель,2.2,200.0,автомат,4WD,серый,81000.0,левый,8.7,2850000
2,Toyota RAV4,2022,бензин,2.0,173.0,вариатор,4WD,черный,1.0,левый,8.7,4000000
3,Jeep Gladiator,2020,бензин,3.6,285.0,автомат,4WD,черный,15000.0,левый,8.602,6750000
4,Jeep Wrangler,2018,бензин,2.0,272.0,автомат,4WD,черный,37700.0,левый,8.7,5200000
5,Mercedes-Benz G-Class,2015,бензин,6.3,544.0,автомат,4WD,черный,52000.0,левый,8.9,9000000
6,Mercedes-Benz S-Class,2016,бензин,5.5,585.0,робот,4WD,черный,75000.0,левый,8.602,8500000
7,Лада 2115 Самара,2011,бензин,1.6,81.0,механика,передний,серебристый,250000.0,левый,7.6,120000
8,Kia Soul,2017,бензин,1.6,204.0,робот,передний,белый,121950.0,левый,8.8,1249000
9,BMW X5,2014,бензин,3.0,306.0,автомат,4WD,белый,117389.0,левый,8.602,2599000
10,Kia Sorento,2018,дизель,2.2,200.0,автомат,4WD,коричневый,83423.0,левый,8.6,2699000
11,Toyota Highlander,2012,бензин,3.5,273.0,автомат,4WD,черный,150851.0,левый,8.602,1449000
12,ГАЗ 14 Чайка,1985,бензин,5.5,220.0,автомат,задний,черный,39316.0,левый,8.602,3000000
13,Changan UNI-K,2021,бензин,2.0,232.0,автомат,4WD,серый,17000.0,левый,8.602,3550000
14,Kia Carnival,2021,дизель,2.2,199.0,автомат,передний,черный,20500.0,левый,8.6,4250000
15,Hyundai Grand Starex,2010,дизель,2.5,145.0,автомат,задний,белый,140602.0,левый,8.6,1349000
16,Infiniti QX56,2010,бензин,5.6,405.0,автомат,4WD,черный,155314.0,левый,8.602,1549000
17,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,132664.0,левый,8.9,1349000
18,Hyundai Grand Starex,2011,дизель,2.5,145.0,автомат,задний,серый,143414.0,левый,8.6,1249000
19,Volkswagen Polo,2019,бензин,1.6,110.0,автомат,передний,синий,80778.0,левый,8.6,1099000
20,Great Wall Hover H5,2012,бензин,2.4,136.0,механика,4WD,серый,110791.0,левый,8.5,699000
21,Toyota Land Cruiser,2007,бензин,4.7,238.0,автомат,4WD,черный,339000.0,левый,8.602,2200000
22,Honda Stepwgn,2019,бензин,2.0,145.0,вариатор,передний,черный,98000.0,правый,8.8,2500000
23,Mercedes-Benz GLE,2019,дизель,3.0,272.0,автомат,4WD,черный,67908.0,левый,8.602,6590000
24,Mercedes-Benz EQV,2021,электро,0.0,204.0,автомат,передний,черный,19690.0,левый,8.602,7890000
25,Toyota Voxy,2012,бензин,2.0,155.0,вариатор,4WD,черный,150000.0,правый,8.9,1470000
26,Nissan Terrano,2018,бензин,2.0,143.0,автомат,4WD,белый,95000.0,левый,8.1,1580000
27,Kia Carnival,2019,дизель,2.2,202.0,автомат,передний,белый,62000.0,левый,8.6,3150000
28,Kia K5,2019,бензин,2.0,160.0,автомат,передний,синий,26000.0,левый,8.602,2900000
29,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,синий,74000.0,левый,8.6,3315000
30,SsangYong Actyon,2013,дизель,2.0,149.0,автомат,передний,белый,139347.0,левый,8.5,799000
31,Mercedes-Benz GL-Class,2012,дизель,3.0,224.0,автомат,4WD,черный,140288.0,левый,8.602,1649000
